filename,word_count,char_count,model,observer_model,performer_model,perplexity,cross_perplexity,binoculars_score,threshold,classification,ai_probability
AICreated_prompt3generateHTMLFormatv001.txt,176,1176,small,gpt2,gpt2-medium,2.8438,3.9531,0.7194,0.8536,AI_Written,0.8823
AICreated_prompt3generateHTMLFormatv002.txt,116,819,small,gpt2,gpt2-medium,4.2500,4.8750,0.8718,0.8536,Human_Written,0.4323
AICreated_prompt3generateHTMLFormatv003.txt,326,2261,small,gpt2,gpt2-medium,2.5938,3.2812,0.7905,0.8536,AI_Written,0.7206
AICreated_prompt3generateHTMLFormatv004.txt,250,1795,small,gpt2,gpt2-medium,3.9375,4.5312,0.8690,0.8536,Human_Written,0.4428
AICreated_prompt3generateHTMLFormatv005.txt,640,4248,small,gpt2,gpt2-medium,3.2812,4.0312,0.8140,0.8536,AI_Written,0.6446
AIWritten_Sample2_ChinaAdvancementInRecentYears.txt,1045,7427,small,gpt2,gpt2-medium,3.0312,4.0000,0.7578,0.8536,AI_Written,0.8081
AIWritten_Sample5_ChinaAdvancementInRecentYears_WDuplicate.txt,1182,8402,small,gpt2,gpt2-medium,3.0312,4.0000,0.7578,0.8536,AI_Written,0.8081
AIWritten_sample4_WilliamFaulkner_NobelCommittee.txt,428,2692,small,gpt2,gpt2-medium,2.6406,4.0312,0.6550,0.8536,AI_Written,0.9516
HumanWritten_Sample1_ParisTravelIntro.txt,799,4369,small,gpt2,gpt2-medium,3.3281,4.6875,0.7100,0.8536,AI_Written,0.8961
Humanwritten_sample3_WilliamFaulkner_NobelCommittee.txt,439,2542,small,gpt2,gpt2-medium,3.0469,4.3125,0.7065,0.8536,AI_Written,0.9009
